,id,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,Property Type,Stay Type
59,15341,60049,2,178,40.7221,-73.99775,0,180.0,30,21,2019-06-29,0.3,1,154,0,0
60,15385,60252,1,214,40.71185,-73.96204,1,80.0,2,42,2019-06-30,0.38,1,263,0,1
61,15396,60278,2,34,40.74623,-73.9953,0,375.0,90,5,2018-11-03,0.12,1,180,0,0
62,15711,61491,2,201,40.77065,-73.95269,0,250.0,2,66,2019-03-30,0.57,2,231,0,1
63,16326,63588,1,158,40.67811,-73.96428,0,200.0,30,143,2019-01-26,1.33,2,297,0,0
64,16338,63613,1,41,40.69,-73.96788,1,55.0,7,27,2017-09-30,0.23,2,292,0,1
65,16421,63924,2,95,40.75979,-73.99119,1,52.0,30,191,2019-05-16,1.65,1,191,0,0
66,16458,64056,1,151,40.67343,-73.98338,0,225.0,3,4,2017-09-24,0.16,1,0,0,1
67,16580,64442,2,64,40.72649,-73.97904,1,80.0,1,338,2019-07-01,4.72,2,72,0,1
68,16595,64522,1,214,40.70933,-73.96792,0,275.0,1,148,2019-06-23,1.4,1,362,0,1
69,16821,4396,2,64,40.72298,-73.98474,1,99.0,1,106,2019-06-21,1.26,2,336,0,1
70,16974,65837,2,61,40.80164,-73.93922,0,225.0,4,190,2019-06-23,1.64,1,215,0,1
71,17037,66035,2,64,40.72162,-73.98008,0,230.0,9,49,2018-05-14,0.43,1,116,0,1
72,17092,66243,2,95,40.76342,-73.98865,1,51.0,7,23,2019-06-01,0.43,1,88,0,1
73,17693,68428,2,206,40.83139,-73.94095,1,65.0,2,49,2019-06-18,1.6,2,336,0,1
74,17747,68599,1,41,40.68346,-73.96374,1,105.0,2,105,2019-06-26,0.92,1,304,0,1
75,18127,69829,2,64,40.72828,-73.98801,0,190.0,5,21,2019-01-02,0.2,1,224,0,1
76,18152,69942,2,201,40.76865,-73.95058,1,200.0,1,142,2019-07-06,1.5,1,322,0,1
77,18198,70091,3,220,40.75038,-73.90334,1,70.0,30,25,2019-05-31,0.22,1,324,0,0
78,18590,71512,1,80,40.6932,-73.97267,1,95.0,3,143,2019-06-16,1.28,1,132,0,1
79,18728,71876,2,34,40.74138,-74.00197,1,150.0,3,167,2019-05-28,1.65,1,295,0,1
80,18764,72014,1,214,40.71154,-73.96112,1,145.0,3,61,2019-04-22,0.54,4,238,0,1
81,19159,73051,2,94,40.82915,-73.95136,0,110.0,31,54,2019-03-23,0.49,1,209,0,0
82,19169,73128,2,119,40.71851,-73.98892,0,285.0,5,70,2019-06-30,0.62,1,328,0,1
83,19282,73469,1,74,40.65401,-73.96323,0,130.0,6,16,2019-06-15,0.15,1,38,0,1
84,19319,44263,2,119,40.7114,-73.98794,1,94.0,30,94,2019-04-08,0.84,1,188,0,0
85,19601,74303,1,25,40.69723,-73.99268,0,800.0,1,25,2016-08-04,0.24,1,7,0,1
86,19812,74857,1,214,40.71833,-73.95748,0,105.0,3,61,2018-08-09,0.53,1,272,0,1
87,20299,62407,2,64,40.72334,-73.9844,1,60.0,3,194,2019-06-30,1.73,1,26,0,1
88,20300,76627,2,64,40.72912,-73.98057,1,50.0,1,2,2016-02-14,0.05,1,0,0,1
89,20611,72014,1,214,40.71156,-73.96218,1,85.0,3,174,2019-06-22,1.54,4,288,0,1
90,20724,961342,1,28,40.70032,-73.9383,1,65.0,4,24,2019-05-26,0.28,1,317,0,1
91,20734,78460,1,158,40.68233,-73.97261,0,131.0,4,166,2019-06-27,3.4,1,207,0,1
92,20755,51038,1,41,40.68634,-73.966,1,98.0,7,16,2019-05-31,0.2,6,185,0,1
93,20853,79070,1,158,40.68035,-73.97162,0,250.0,7,21,2019-05-21,0.3,1,158,0,1
94,20913,79402,1,214,40.70984,-73.95775,0,100.0,5,168,2018-07-22,1.57,1,0,0,1
95,21293,44145,1,28,40.70093,-73.92609,0,105.0,3,118,2019-06-18,1.05,2,9,0,1
96,21456,42032,2,202,40.79764,-73.96177,0,140.0,3,81,2019-07-07,0.71,1,198,0,1
97,21644,82685,2,94,40.82803,-73.94731,1,89.0,1,1,2018-10-09,0.11,1,365,0,1
98,21794,83257,2,34,40.74008,-74.00271,1,98.0,30,30,2019-05-01,0.27,2,364,0,0
99,22911,87773,1,13,40.68413,-73.92357,0,125.0,7,139,2018-10-28,1.23,2,311,0,1
100,22918,32294,2,94,40.82279,-73.95139,1,60.0,3,11,2019-01-03,0.87,3,219,0,1
101,23135,11481,1,31,40.67967,-74.00154,0,175.0,2,233,2019-06-24,2.09,3,342,0,1
102,23501,63318,2,206,40.83927,-73.94281,1,65.0,2,68,2012-11-01,0.6,1,312,0,1
103,23686,93790,2,209,40.73096,-74.00319,0,500.0,4,46,2019-05-18,0.55,2,243,0,1
104,24143,97219,1,214,40.71332,-73.94177,1,101.0,3,335,2019-05-29,3.02,1,152,0,1
105,24285,97797,1,151,40.66941,-73.98109,0,220.0,30,88,2018-11-02,0.79,1,9,0,0
106,25235,87773,1,13,40.68373,-73.92377,0,125.0,90,162,2019-06-28,1.46,2,137,0,0
107,25406,105538,1,214,40.71459,-73.94844,0,80.0,30,29,2018-05-26,0.4,1,222,0,0
108,25696,107628,2,94,40.8092,-73.94421,1,100.0,2,170,2019-06-23,1.61,1,346,0,1
109,26012,109589,1,85,40.68157,-73.98989,0,200.0,30,19,2017-03-17,0.2,1,208,0,0
110,26362,59734,2,95,40.75527,-73.99291,1,59.0,2,334,2019-06-16,3.0,2,279,0,1
111,26520,51038,1,41,40.68698,-73.96572,1,125.0,2,19,2019-06-02,0.2,6,250,0,1
112,26559,112793,2,64,40.7288,-73.98192,0,140.0,7,12,2017-12-11,0.13,1,164,0,1
113,26785,42273,1,182,40.66853,-73.98912,0,120.0,30,467,2018-12-30,4.22,2,192,0,0
114,26933,72062,2,64,40.7254,-73.98157,0,350.0,2,7,2017-08-09,0.06,4,298,0,1
115,26954,115157,2,112,40.74294,-73.98009,0,199.0,5,38,2015-12-02,0.38,1,260,0,1
116,26969,115307,1,214,40.71942,-73.95748,0,325.0,3,324,2019-06-23,3.01,1,107,0,1
117,27006,115560,2,202,40.77823,-73.97637,0,235.0,6,27,2019-04-27,0.27,1,199,0,1
118,27385,72062,2,64,40.72555,-73.97965,0,225.0,1,115,2019-06-07,1.05,4,299,0,1
119,27531,118971,1,182,40.66831,-73.98604,1,99.0,2,354,2019-05-20,3.2,3,20,0,1
120,27644,119510,2,94,40.82754,-73.94919,0,170.0,2,195,2019-07-01,2.03,1,318,0,1
121,27659,119588,1,182,40.66499,-73.97925,0,400.0,2,16,2018-12-30,0.24,2,216,0,1
122,27759,119900,2,202,40.77842,-73.97556,0,170.0,7,13,2019-06-26,0.12,1,224,0,1
123,27883,120223,2,64,40.72245,-73.98527,0,100.0,4,25,2011-12-10,0.23,1,0,0,1
124,28321,65091,1,159,40.65593,-73.96053,1,75.0,2,9,2018-10-05,0.08,1,324,0,1
125,28396,6197784,1,214,40.71923,-73.96468,1,90.0,1,9,2011-09-18,0.08,1,245,0,1
126,28907,124352,2,201,40.778,-73.94822,0,150.0,5,21,2017-08-15,0.19,1,189,0,1
127,29012,124797,2,206,40.85879,-73.93128,1,85.0,15,36,2017-08-17,0.33,1,307,0,1
128,29013,35935,1,13,40.68332,-73.9547,1,70.0,3,63,2019-05-14,0.58,2,310,0,1
129,29455,126607,2,94,40.81618,-73.94894,0,120.0,3,155,2019-06-20,1.42,3,213,0,1
130,29628,127608,1,41,40.68414,-73.96351,1,89.0,3,260,2019-07-03,2.35,1,278,0,1
131,29683,125857,2,64,40.72392,-73.99143,0,185.0,5,73,2019-06-25,0.66,1,209,0,1
132,30031,129352,1,91,40.73494,-73.9503,1,50.0,3,193,2019-05-20,1.86,1,0,0,1
133,30927,120335,2,119,40.71341,-73.98856,0,105.0,3,32,2019-06-14,0.29,1,16,0,1
134,31130,117287,2,95,40.76754,-73.98399,1,130.0,2,50,2019-05-26,0.45,3,234,0,1
135,31555,135619,2,209,40.73442,-74.00303,0,115.0,29,26,2019-07-01,0.25,1,12,0,0
136,31902,137292,1,76,40.63188,-73.93248,1,77.0,2,2,2019-01-01,0.02,1,178,0,1
137,31994,137814,1,41,40.6873,-73.9634,1,76.0,2,426,2019-06-24,3.89,3,275,0,1
138,32023,137974,1,13,40.68296,-73.93662,0,125.0,3,227,2019-06-23,2.09,2,163,0,1
139,32037,116599,1,41,40.6863,-73.96765,1,135.0,4,84,2019-07-01,0.77,3,365,0,1
140,32100,138579,1,91,40.73409,-73.95348,0,250.0,29,3,2017-07-30,0.03,1,34,0,0
141,32289,139612,1,214,40.71561,-73.94835,0,199.0,3,10,2018-06-11,0.1,1,280,0,1
142,32331,139874,1,43,40.6857,-73.99183,0,140.0,2,4,2016-04-24,0.04,1,0,0,1
143,32363,140025,3,77,40.74028,-73.83168,1,140.0,2,1,2011-09-19,0.01,1,1,0,1
144,32965,137974,1,13,40.68281,-73.93524,0,115.0,3,124,2019-06-20,1.72,2,170,0,1
145,32969,142833,1,214,40.71596,-73.93938,0,160.0,3,11,2019-07-02,0.11,1,188,0,1
146,33009,143027,1,214,40.71492,-73.95935,0,195.0,4,240,2019-06-17,2.19,1,214,0,1
147,33014,143048,2,64,40.72354,-73.98295,0,195.0,3,30,2019-06-17,0.28,1,248,0,1
148,33223,72014,1,214,40.71165,-73.96087,1,80.0,3,200,2019-06-22,1.86,4,262,0,1
149,34760,149929,1,80,40.69101,-73.97312,1,44.0,8,27,2019-06-29,1.05,5,280,0,1
150,35526,120291,2,209,40.73474,-74.00101,1,156.0,4,79,2019-06-22,0.74,1,307,0,1
151,36121,62165,1,158,40.67386,-73.96641,1,85.0,15,9,2013-05-10,0.09,1,339,0,1
152,36133,142684,1,214,40.71536,-73.96057,1,125.0,3,155,2019-06-13,1.61,1,1,0,1
153,36442,137432,1,158,40.6741,-73.96595,0,115.0,15,4,2018-08-27,0.05,1,269,0,1
154,36647,157798,2,61,40.79295,-73.93997,1,69.0,2,34,2017-05-29,0.32,1,10,0,1
155,36703,158284,2,209,40.73226,-74.00401,0,225.0,45,134,2019-03-31,1.24,1,312,0,0
156,36934,159370,1,214,40.71363,-73.96398,0,125.0,6,27,2018-12-27,0.25,1,189,0,1
157,38638,92788,2,201,40.77711,-73.9527,0,219.0,4,126,2019-06-26,1.16,2,290,0,1
158,38663,165789,1,19,40.68559,-73.98094,0,475.0,3,23,2018-12-31,0.27,1,230,0,1
159,39267,168417,2,201,40.77456,-73.95323,0,99.0,1,234,2019-06-08,2.6,2,164,0,1
160,39282,168525,1,214,40.71088,-73.95055,1,69.0,4,202,2019-05-28,1.86,2,53,0,1
161,39593,110506,3,189,40.74559,-73.92313,1,79.0,30,28,2019-04-12,0.26,1,126,0,0
162,39704,170510,1,13,40.68306,-73.94659,0,135.0,2,309,2019-06-22,2.86,2,3,0,1
163,40039,171851,1,53,40.70207,-73.98571,1,250.0,3,14,2011-04-25,0.13,1,189,0,1
164,40453,174025,2,201,40.76123,-73.9642,0,250.0,3,4,2016-09-23,0.08,1,365,0,1
165,41348,180083,1,85,40.66858,-73.99083,0,250.0,2,80,2019-07-06,2.17,1,0,0,1
166,41513,181167,2,94,40.82704,-73.94907,0,80.0,3,2,2015-11-02,0.04,1,0,0,1
167,42580,137814,1,41,40.68843,-73.96408,1,70.0,2,294,2019-06-24,3.47,3,336,0,1
168,42729,11481,1,31,40.6783,-74.00135,0,165.0,2,150,2019-06-18,1.4,3,342,0,1
169,42882,185978,4,186,40.64524,-74.08088,1,70.0,2,166,2019-06-13,1.66,1,312,0,1
170,43957,177536,1,28,40.70641,-73.91765,1,50.0,2,47,2019-06-19,0.94,1,37,0,1
171,44096,190409,0,96,40.83232,-73.93184,1,40.0,1,219,2019-07-04,2.04,3,353,0,1
172,44161,193360,1,214,40.71045,-73.9677,0,150.0,2,193,2016-07-06,1.78,1,177,0,1
173,44212,72062,2,64,40.72518,-73.98034,1,125.0,1,84,2019-06-23,0.78,4,310,0,1
174,44221,193722,2,73,40.70666,-74.01374,0,196.0,3,114,2019-06-20,1.06,1,0,0,1
175,44229,181376,1,80,40.69098,-73.97113,1,110.0,2,213,2019-06-24,2.0,2,321,0,1
176,44288,193637,2,209,40.73756,-74.00405,0,170.0,3,86,2019-06-01,0.8,1,246,0,1
177,44506,126607,2,94,40.81526,-73.94791,0,165.0,3,80,2019-05-26,0.75,3,231,0,1
178,45393,201297,2,209,40.73423,-74.0046,0,150.0,26,38,2016-04-20,0.36,1,225,0,1
179,45542,202249,2,94,40.82374,-73.9373,0,100.0,2,18,2018-12-17,1.79,1,0,0,1
180,45556,67778,1,80,40.68863,-73.97691,1,65.0,2,206,2019-06-30,1.92,2,0,0,1
181,45910,204539,3,166,40.70382,-73.89797,0,350.0,8,10,2019-05-12,0.11,5,365,0,1
182,45936,867225,2,130,40.80549,-73.95924,1,99.0,4,122,2019-05-14,1.18,2,233,0,1
183,45940,204724,1,214,40.71627,-73.9587,0,200.0,4,33,2019-04-08,0.58,1,1,0,1
184,46544,8198,1,151,40.67994,-73.97863,0,150.0,5,52,2019-06-05,0.5,1,18,0,1
185,46723,209460,1,13,40.67992,-73.9475,1,90.0,3,126,2019-05-19,1.17,4,343,0,1
186,46911,210746,1,158,40.67868,-73.97307,1,120.0,3,51,2019-06-24,0.48,3,250,0,1
187,47199,212722,2,201,40.76834,-73.95334,1,75.0,3,199,2019-06-24,1.85,1,326,0,1
188,47362,214148,1,13,40.68237,-73.9415,0,175.0,26,30,2012-09-03,0.29,1,364,0,1
189,47370,214287,2,34,40.74031,-73.99999,0,125.0,3,3,2015-07-17,0.03,1,0,0,1
190,47926,218404,2,95,40.76307,-73.99665,0,275.0,1,41,2019-06-26,0.38,1,299,0,1
191,48719,221873,2,119,40.71882,-73.98852,0,299.0,2,109,2019-06-15,1.04,1,207,0,1
192,50447,9744,1,182,40.6693,-73.98804,0,135.0,5,151,2019-06-22,1.43,3,162,0,1
193,51438,236421,2,201,40.77333,-73.95199,1,130.0,14,0,NA,0.0,2,0,1,1
194,51485,236655,2,119,40.72319,-73.99201,1,83.0,1,285,2019-06-22,2.69,1,7,0,1
195,51572,237329,2,34,40.74859,-73.99671,1,123.0,1,375,2019-06-18,3.52,1,328,0,1
196,51850,27848,3,105,40.67252,-73.76597,1,55.0,2,52,2019-05-20,0.49,2,365,0,1
197,53137,240360,2,95,40.76244,-73.99271,0,195.0,5,10,2019-07-01,1.01,1,0,0,1
198,53196,247432,1,13,40.69546,-73.93503,1,80.0,2,11,2017-11-13,0.48,1,0,0,1
199,53469,204539,3,125,40.71722,-73.87856,0,98.0,30,33,2015-05-09,0.31,5,240,0,0
200,53470,204539,3,166,40.70234,-73.89816,1,140.0,7,6,2015-10-08,0.06,5,365,0,1
201,53477,204539,3,125,40.71546,-73.87854,0,265.0,7,38,2019-04-27,0.38,5,365,0,1
202,54158,10889,1,214,40.7195,-73.95976,0,249.0,2,358,2019-06-20,3.44,2,164,0,1
203,54453,255583,2,95,40.76548,-73.98474,2,105.0,6,10,2014-01-07,0.09,1,363,0,1
204,54466,253385,2,94,40.80234,-73.95603,1,200.0,30,0,NA,0.0,1,365,1,0
205,54508,210746,1,158,40.6787,-73.97262,1,100.0,2,226,2019-06-06,2.12,3,250,0,1
206,54544,256161,2,94,40.81035,-73.94598,0,121.0,1,104,2019-06-22,1.0,5,247,0,1
207,54626,190409,0,96,40.83075,-73.93058,1,45.0,1,138,2019-06-30,1.45,3,323,0,1
208,54860,258164,2,61,40.79958,-73.94275,1,100.0,5,204,2019-06-23,1.92,1,192,0,1
209,55467,260709,1,214,40.71625,-73.93845,0,140.0,2,253,2019-07-02,3.04,1,125,0,1
210,55498,262138,1,13,40.6829,-73.93549,1,71.0,2,23,2019-07-01,0.22,1,91,0,1
211,55668,88209,2,144,40.72773,-73.99134,1,130.0,2,115,2018-12-05,1.17,1,75,0,1
212,55737,263414,2,209,40.72861,-74.0049,0,199.0,5,129,2019-05-19,1.22,1,286,0,1
213,55959,168525,1,214,40.70979,-73.95162,1,69.0,4,82,2019-06-10,1.13,2,60,0,1
214,55982,264928,1,80,40.68656,-73.97525,1,68.0,3,37,2018-12-31,0.35,1,0,0,1
215,56467,267593,2,64,40.72752,-73.98432,0,130.0,1,204,2019-07-01,2.04,1,192,0,1
216,56525,268014,1,91,40.729,-73.95829,0,195.0,2,69,2019-06-13,0.65,1,58,0,1
217,56859,256161,2,94,40.81219,-73.94499,1,64.0,1,192,2019-06-03,1.84,5,245,0,1
218,57166,272006,3,54,40.77185,-73.90502,0,140.0,2,17,2019-06-17,0.16,1,292,0,1
219,57297,199392,1,43,40.68926,-73.99386,0,159.0,2,222,2019-06-24,2.12,1,279,0,1
220,57468,239208,2,64,40.72821,-73.98701,0,189.0,3,205,2019-06-23,1.96,1,0,0,1
221,57618,274557,2,95,40.7672,-73.98508,0,250.0,3,94,2019-06-09,0.96,1,3,0,1
222,57740,275459,2,64,40.73012,-73.99053,0,239.0,3,7,2019-05-24,0.07,1,351,0,1
223,57754,275578,2,75,40.7403,-73.98498,0,305.0,2,108,2019-06-30,1.09,1,201,0,1
224,57874,276291,2,94,40.80931,-73.94343,0,155.0,3,222,2019-06-26,2.1,2,232,0,1
225,58059,277379,2,94,40.8251,-73.94287,1,60.0,1,458,2019-07-03,4.58,2,258,0,1
226,58062,277394,1,216,40.6585,-73.98397,1,135.0,2,21,2019-05-17,0.26,1,272,0,1
227,58467,279797,2,169,40.76193,-73.9501,1,120.0,7,17,2019-05-08,0.3,1,341,0,1
228,59014,282927,2,119,40.72052,-73.98589,0,150.0,3,41,2019-01-02,0.39,1,244,0,1
229,59121,204539,3,166,40.70411,-73.89934,0,140.0,14,1,2012-09-17,0.01,5,365,0,1
230,59642,274782,1,91,40.73401,-73.95967,0,135.0,2,69,2019-05-19,0.67,1,12,0,1
231,59709,186084,2,35,40.71756,-73.99503,0,250.0,4,18,2019-07-01,0.18,2,265,0,1
232,59855,288031,2,127,40.7589,-73.96991,0,250.0,30,82,2016-01-05,0.78,1,0,0,0
233,60164,289653,2,178,40.72003,-74.00262,0,500.0,4,94,2019-06-23,0.99,1,329,0,1
234,60457,99212,2,92,40.73194,-73.99474,0,225.0,5,10,2019-05-11,0.1,1,91,0,1
235,60611,292204,2,61,40.79163,-73.94573,0,125.0,28,183,2018-09-29,1.83,2,365,0,1
236,60666,256161,2,94,40.8118,-73.94434,1,92.0,1,189,2019-06-11,1.82,5,253,0,1
237,60673,249372,2,94,40.81583,-73.94707,1,175.0,2,1,2018-10-07,0.11,1,365,0,1
238,60680,292630,2,64,40.72654,-73.98049,0,99.0,2,127,2019-06-20,1.22,1,320,0,1
239,60794,293394,2,202,40.80021,-73.96071,0,195.0,4,4,2017-08-25,0.04,1,0,0,1
240,60948,126607,2,61,40.80942,-73.93936,0,140.0,3,135,2019-06-20,1.3,3,192,0,1
241,61167,295760,2,115,40.71961,-73.9954,0,135.0,2,21,2015-12-12,0.2,1,0,0,1
242,61224,291112,2,34,40.74358,-74.00027,0,500.0,2,35,2017-07-27,0.34,1,348,0,1
243,61406,297176,2,94,40.80335,-73.9575,1,80.0,14,10,2019-06-01,2.21,2,0,0,1
244,61492,297769,2,35,40.71445,-73.9908,1,120.0,4,171,2019-06-23,1.8,2,353,0,1
245,61509,23619,2,127,40.75749,-73.96897,0,110.0,90,92,2019-04-30,0.9,1,140,0,0
246,62095,281764,1,60,40.64446,-73.9503,0,65.0,3,238,2019-06-14,2.3,1,2,0,1
247,62427,303882,2,64,40.7268,-73.99079,0,130.0,50,56,2019-05-26,0.58,1,56,0,0
248,62430,197755,1,28,40.688,-73.9171,0,99.0,3,111,2019-06-22,2.13,1,68,0,1
249,62452,303939,4,194,40.63536,-74.08537,1,36.0,2,193,2019-06-25,1.85,6,360,0,1
250,62461,303939,4,194,40.63627,-74.08543,1,37.0,2,147,2019-06-10,1.44,6,0,0,1
251,62787,303939,4,194,40.63518,-74.08546,1,37.0,2,177,2019-07-02,1.71,6,320,0,1
252,62891,306545,2,64,40.72477,-73.98161,0,175.0,3,185,2019-05-24,1.78,2,326,0,1
253,62903,306605,2,34,40.74238,-73.99567,0,205.0,9,62,2019-06-21,0.7,2,76,0,1
254,62925,306739,1,91,40.72945,-73.95511,0,285.0,3,124,2019-06-16,1.22,3,279,0,1
255,63299,308875,1,214,40.70763,-73.95177,1,59.0,2,181,2019-06-23,1.77,2,15,0,1
256,63320,303939,4,194,40.63481,-74.08519,1,36.0,2,333,2019-07-02,3.19,6,340,0,1
257,63360,307962,3,4,40.75384,-73.91433,0,99.0,5,441,2019-06-24,4.5,1,226,0,1
258,63546,308652,1,108,40.64106,-73.97426,1,39.0,1,45,2019-05-16,0.46,2,365,0,1
259,63573,310458,1,151,40.66793,-73.98327,1,60.0,14,9,2016-08-29,0.09,2,0,0,1
260,63588,295128,0,39,40.81309,-73.85514,1,90.0,2,0,NA,0.0,7,349,1,1
261,63610,310670,0,65,40.88057,-73.83572,0,105.0,2,38,2019-06-27,0.5,13,365,0,1
262,63657,170510,1,13,40.68236,-73.94314,0,135.0,2,248,2019-06-25,2.39,2,11,0,1
263,63693,306545,2,64,40.72185,-73.98246,0,390.0,5,143,2019-06-19,1.38,2,316,0,1
264,63719,311286,1,13,40.68503,-73.95385,1,70.0,3,36,2018-08-19,0.41,4,281,0,1
265,63913,312288,2,103,40.86648,-73.9263,1,75.0,7,0,NA,0.0,2,323,1,1
